Date,^GDAXI,FTSEMIB.MI,^FCHI,^IBEX,^STOXX50E
2009-01-02,4973.06982421875,19953.0,3349.68994140625,9486.2900390625,
2009-01-05,4983.990234375,20262.0,3359.919921875,9644.08984375,2553.409912109375
2009-01-06,5026.31005859375,20729.0,3396.219970703125,9723.990234375,2578.429931640625
2009-01-07,4937.47021484375,20606.0,3346.090087890625,9569.990234375,2538.550048828125
2009-01-08,4879.91015625,20630.0,3324.330078125,9469.490234375,2516.56005859375
2009-01-09,4783.89013671875,20093.0,3299.5,9378.490234375,2486.590087890625
2009-01-12,4719.6201171875,19911.0,3246.1201171875,9199.890625,2451.8701171875
2009-01-13,4636.93994140625,19455.0,3197.889892578125,9057.291015625,2411.280029296875
2009-01-14,4422.35009765625,18763.0,3052.0,8692.69140625,2298.4599609375
2009-01-15,4336.72998046875,18402.0,2995.8798828125,8611.0908203125,2257.669921875
2009-01-16,4366.27978515625,18703.0,3016.75,8620.0908203125,2281.449951171875
2009-01-19,4316.14013671875,18367.0,2989.68994140625,8494.791015625,2252.389892578125
2009-01-20,4239.85009765625,18024.0,2925.280029296875,8276.4912109375,2200.800048828125
2009-01-21,4261.14990234375,17684.0,2905.570068359375,8230.69140625,2188.429931640625
2009-01-22,4219.419921875,17369.0,2869.6201171875,8159.29150390625,2160.070068359375
2009-01-23,4178.93994140625,17283.0,2849.139892578125,8172.79150390625,2147.8701171875
2009-01-26,4326.8701171875,17797.0,2955.3701171875,8375.19140625,2226.77001953125
2009-01-27,4323.419921875,17739.0,2954.530029296875,8349.4912109375,2224.6201171875
2009-01-28,4518.72021484375,18341.0,3076.010009765625,8701.4912109375,2322.780029296875
2009-01-29,4428.10986328125,18092.0,3009.75,8477.3916015625,2269.39990234375
2009-01-30,4338.35009765625,17934.0,2973.919921875,8450.3916015625,2236.97998046875
2009-02-02,4271.0400390625,17467.0,2930.050048828125,8233.3916015625,2198.739990234375
2009-02-03,4374.9599609375,17669.0,2982.389892578125,8361.8916015625,2244.889892578125
2009-02-04,4492.7900390625,18015.0,3068.989990234375,8495.3916015625,2297.72998046875
2009-02-05,4510.490234375,18013.0,3066.2900390625,8440.19140625,2293.22998046875
2009-02-06,4644.6298828125,18434.0,3122.7900390625,8544.69140625,2343.659912109375
2009-02-09,4666.81982421875,18663.0,3134.8701171875,8584.791015625,2348.949951171875
2009-02-10,4505.5400390625,18252.0,3020.75,8397.291015625,2268.14990234375
2009-02-11,4530.08984375,18074.0,3027.719970703125,8355.791015625,2267.89990234375
2009-02-12,4407.56005859375,17669.0,2964.340087890625,8200.8916015625,2214.949951171875
2009-02-13,4413.39013671875,17731.0,2997.860107421875,8265.4912109375,2228.2900390625
2009-02-16,4366.64013671875,17410.0,2962.219970703125,8074.99169921875,
2009-02-17,4216.60009765625,16726.0,2875.22998046875,7843.1923828125,2119.97998046875
2009-02-18,4204.9599609375,16580.0,2874.070068359375,7861.39208984375,2118.469970703125
2009-02-19,4215.2099609375,16501.0,2872.60009765625,7875.89208984375,2114.840087890625
